vessel	cruise	haul	species	sex	specimen	age	length
518	198101	40	20510	1	1033	5	61
518	198101	40	20510	1	1036	5	62
518	198101	40	20510	1	1037	5	63
518	198101	40	20510	1	1038	5	63
518	198101	40	20510	2	1088	5	58
518	198101	40	20510	2	1091	5	60
518	198101	40	20510	2	1092	5	60
518	198101	40	20510	2	1101	5	65
518	198101	40	20510	2	1103	5	66
518	198101	40	20510	2	1105	5	67
518	198101	40	20510	2	1107	5	68
518	198101	53	20510	1	843	5	57
518	198101	53	20510	1	848	5	59
518	198101	53	20510	2	929	5	64
518	198101	53	20510	2	922	5	61
518	198101	53	20510	2	924	5	62
518	198101	67	20510	1	4	5	44
518	198101	67	20510	1	29	5	58
518	198101	67	20510	2	88	5	54
518	198101	67	20510	2	97	5	58
518	198101	67	20510	2	99	5	59
518	198101	67	20510	2	101	5	60
518	198101	67	20510	2	102	5	61
518	198101	67	20510	2	104	5	62
518	198101	67	20510	2	106	5	63
518	198101	67	20510	2	109	5	64
518	198101	67	20510	2	111	5	65
518	198101	67	20510	2	113	5	66
518	198101	67	20510	2	116	5	68
518	198101	77	20510	1	507	5	50
518	198101	77	20510	1	508	5	51
518	198101	77	20510	1	510	5	52
518	198101	77	20510	1	513	5	53
518	198101	77	20510	1	516	5	55
518	198101	77	20510	1	518	5	56
518	198101	77	20510	1	521	5	57
518	198101	77	20510	1	525	5	59
518	198101	77	20510	1	526	5	60
518	198101	77	20510	1	528	5	61
518	198101	77	20510	1	529	5	61
518	198101	77	20510	2	569	5	52
518	198101	77	20510	2	571	5	53
518	198101	77	20510	2	578	5	57
518	198101	77	20510	2	582	5	59
518	198101	77	20510	2	584	5	60
518	198101	77	20510	2	587	5	61
518	198101	77	20510	2	589	5	62
518	198101	77	20510	2	591	5	63
518	198101	77	20510	2	592	5	64
518	198101	77	20510	2	597	5	66
518	198101	82	20510	1	342	5	48
518	198101	82	20510	1	346	5	50
518	198101	82	20510	1	353	5	54
518	198101	82	20510	1	354	5	54
518	198101	82	20510	1	358	5	56
518	198101	82	20510	1	359	5	57
518	198101	82	20510	1	362	5	58
518	198101	82	20510	1	364	5	59
518	198101	82	20510	1	369	5	62
518	198101	82	20510	1	371	5	63
518	198101	82	20510	2	420	5	53
518	198101	82	20510	2	421	5	54
518	198101	82	20510	2	423	5	55
518	198101	82	20510	2	427	5	57
518	198101	82	20510	2	429	5	58
518	198101	82	20510	2	430	5	58
518	198101	82	20510	2	431	5	59
518	198101	82	20510	2	436	5	61
518	198101	82	20510	2	443	5	65
518	198101	82	20510	2	451	5	69
518	198101	92	20510	1	178	5	52
518	198101	92	20510	1	186	5	56
518	198101	92	20510	1	187	5	56
518	198101	92	20510	1	190	5	58
518	198101	92	20510	1	191	5	58
518	198101	92	20510	1	199	5	62
518	198101	92	20510	2	268	5	61
518	198101	92	20510	2	273	5	63
518	198101	92	20510	2	274	5	64
518	198101	92	20510	2	281	5	67
518	198101	92	20510	2	291	5	72
518	198101	92	20510	2	245	5	49
518	198101	92	20510	2	246	5	50
518	198101	92	20510	2	249	5	51
518	198101	92	20510	2	250	5	52
518	198101	92	20510	2	253	5	53
518	198101	92	20510	2	255	5	54
